native_program_id,native_program_name,trusted_panel_tier,initial_review_call,manual_review_priority,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,reason_for_inclusion,review_note,manual_decision,manual_decision_notes
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149550,ccsA,1,3,51.2945,high,Cytochrome c biogenesis protein CcsA,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chrC.g149300,atpB,1,4,51.2809,high,ATP synthase subunit beta,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chrC.g149140,rps3,1,5,51.0409,high,Belongs to the universal ribosomal protein uS3 family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chr1.g011900,-,3,5,38.9016,high,"Short-chain dehydrogenase TIC 32, chloroplastic-like",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,supporting_marker,supporting_review,medium,Waus8730.v1.chrC.g149640,ycf1,1,6,50.2663,medium,Involved in protein precursor import into chloroplasts. May be part of an intermediate translocation complex acting as a protein-conducting channel at the inner envelope,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,supporting_marker,supporting_review,medium,Waus8730.v1.chrC.g149220,clpP,1,7,49.8573,medium,ATP-dependent Clp protease proteolytic,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
ion_water_balance,Ion / water balance,core_marker,keep_initial,high,Waus8730.v1.chr12.g027290,-,5,1,38.4052,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
ion_water_balance,Ion / water balance,core_marker,keep_initial,high,Waus8730.v1.chr5.g111250,-,5,2,38.3184,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
ion_water_balance,Ion / water balance,core_marker,keep_initial,medium,Waus8730.v1.chr1.g013300,-,5,4,34.2919,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
ion_water_balance,Ion / water balance,core_marker,keep_initial,medium,Waus8730.v1.chr14.g044450,HAK5,14,5,9.3193,high,Potassium transporter,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
ion_water_balance,Ion / water balance,supporting_marker,supporting_review,medium,Waus8730.v1.chr1.g008530,-,9,6,35.5074,medium,plasma membrane ATPase,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
ion_water_balance,Ion / water balance,supporting_marker,supporting_review,medium,Waus8730.v1.chr5.g111340,TIP4-3,5,6,32.2176,medium,Belongs to the MIP aquaporin (TC 1.A.8) family,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
ion_water_balance,Ion / water balance,supporting_marker,supporting_review,medium,Waus8730.v1.chr18.g069540,-,14,6,9.242,medium,Sodium/hydrogen exchanger family,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,high,Waus8730.v1.chr1.g003300,-,3,1,43.6534,high,Belongs to the Casparian strip membrane proteins (CASP) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,high,Waus8730.v1.chr9.g145240,-,7;8;9;13,1,37.1226,high,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,high,Waus8730.v1.chr16.g057130,-,2,2,49.7493,high,3-ketoacyl-coa synthase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,high,Waus8730.v1.chr15.g053470,-,3,2,39.2811,high,O-acyltransferase (WSD1-like),High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,medium,Waus8730.v1.chr14.g045910,-,9;13,4,36.3972,high,Belongs to the sterol desaturase family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,medium,Waus8730.v1.chr15.g053070,-,12,4,17.9614,high,Belongs to the glycosyltransferase 8 family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,core_marker,keep_initial,medium,Waus8730.v1.chr14.g045920,-,7;9;13,5,36.1962,high,Belongs to the sterol desaturase family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
lipid_surface_cell_wall,Lipid / surface / cell-wall biology,supporting_marker,supporting_review,medium,Waus8730.v1.chr15.g049100,-,12,6,16.9095,medium,"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues",High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
nutrient_transport,Nutrient transport,core_marker,keep_initial,high,Waus8730.v1.chr7.g132050,NAR2.2,7;9,2,40.6439,high,High affinity nitrate transporter,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
nutrient_transport,Nutrient transport,core_marker,keep_initial,high,Waus8730.v1.chr12.g028590,-,7,3,40.4727,high,Inorganic phosphate transporter,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
nutrient_transport,Nutrient transport,core_marker,keep_initial,medium,Waus8730.v1.chr4.g099300,NRT2.3,7,5,39.273,high,high affinity nitrate transporter,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
nutrient_transport,Nutrient transport,supporting_marker,supporting_review,medium,Waus8730.v1.chr16.g056580,-,7,6,37.2033,medium,glutamine synthetase,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
nutrient_transport,Nutrient transport,supporting_marker,supporting_review,medium,Waus8730.v1.chr13.g034020,-,9,8,35.3464,medium,sulfate transporter,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,high,Waus8730.v1.chr5.g115190,-,6;8,1,29.8563,high,"The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,high,Waus8730.v1.chr6.g122410,-,4;6;8,2,40.0379,high,"The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,high,Waus8730.v1.chr7.g126900,-,0;11,2,28.3787,high,Photosystem II reaction centre X protein (PsbX),High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,high,Waus8730.v1.chr17.g061240,ELIP,2;8,3,48.9931,high,Chlorophyll A-B binding protein,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
photosynthesis_light_harvesting,Photosynthesis / light harvesting,core_marker,keep_initial,medium,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
rna_binding_regulatory,RNA-binding / regulatory,core_marker,keep_initial,high,Waus8730.v1.chr3.g090140,GRP1,0,2,23.6906,high,glycine-rich RNA-binding,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
rna_binding_regulatory,RNA-binding / regulatory,core_marker,keep_initial,high,Waus8730.v1.chr9.g141430,GRP1,0;3,3,39.1241,high,glycine-rich RNA-binding,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
rna_binding_regulatory,RNA-binding / regulatory,core_marker,keep_initial,high,Waus8730.v1.chr2.g084870,-,0;11,3,28.3507,high,29 kDa ribonucleoprotein,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,high,Waus8730.v1.chr7.g133850,THI1,0;3;12,1,38.8951,high,"Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-de",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,high,Waus8730.v1.chr16.g057270,-,7;13,2,33.4889,high,Protein PLANT CADMIUM RESISTANCE,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,high,Waus8730.v1.chr3.g095120,-,14,2,10.8817,high,Universal stress protein,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,high,Waus8730.v1.chr4.g101260,-,12,3,19.8257,high,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,medium,Waus8730.v1.chr4.g106130,-,2;3,5,44.2992,high,Late embryogenesis abundant protein,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,core_marker,keep_initial,medium,Waus8730.v1.chr15.g053120,-,13,5,20.4737,high,Multidrug resistance protein,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
stress_chaperone_response,Stress / chaperone response,supporting_marker,supporting_review,medium,Waus8730.v1.chr15.g050040,-,13,7,20.3604,medium,Chaperone protein dnaJ 8,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,
unknown_high_marker,Unknown high-ranking marker,watchlist_unknown,unknown_watchlist,watchlist,Waus8730.v1.chr5.g116730,-,2,1,49.9679,high,"Protein of unknown function, DUF538",Strong Wolffia marker with unknown or unclear annotation; keep as a watchlist feature rather than a final biological marker.,Strong marker with unclear/unknown annotation; keep visible as a Wolffia-specific watchlist gene.,,
unknown_high_marker,Unknown high-ranking marker,watchlist_unknown,unknown_watchlist,watchlist,Waus8730.v1.chr4.g105210,-,13,3,21.6994,high,Protein of unknown function (DUF1645),Strong Wolffia marker with unknown or unclear annotation; keep as a watchlist feature rather than a final biological marker.,Strong marker with unclear/unknown annotation; keep visible as a Wolffia-specific watchlist gene.,,
unknown_high_marker,Unknown high-ranking marker,watchlist_unknown,unknown_watchlist,watchlist,Waus8730.v1.chr2.g075880,-,7,4,40.0821,high,"Protein of unknown function, DUF538",Strong Wolffia marker with unknown or unclear annotation; keep as a watchlist feature rather than a final biological marker.,Strong marker with unclear/unknown annotation; keep visible as a Wolffia-specific watchlist gene.,,
unknown_high_marker,Unknown high-ranking marker,watchlist_unknown,unknown_watchlist,watchlist,Waus8730.v1.chr9.g142880,-,2;3,7,42.2644,medium,"Protein of unknown function, DUF538",Strong Wolffia marker with unknown or unclear annotation; keep as a watchlist feature rather than a final biological marker.,Strong marker with unclear/unknown annotation; keep visible as a Wolffia-specific watchlist gene.,,
unknown_high_marker,Unknown high-ranking marker,watchlist_unknown,unknown_watchlist,watchlist,Waus8730.v1.chr19.g070270,-,14,8,8.8351,medium,"Hydrolyzes acetyl esters in homogalacturonan regions of pectin. In type I primary cell wall, galacturonic acid residues of pectin can be acetylated at the O-2 and O-3 positions. Decreasing the degree of acetylation of pectin gels in vitro alters their physical",Strong Wolffia marker with unknown or unclear annotation; keep as a watchlist feature rather than a final biological marker.,Strong marker with unclear/unknown annotation; keep visible as a Wolffia-specific watchlist gene.,,
